Key;English;
RUS_absolute_monarchy;The Russian Empire;
RUS_prussian_constitutionalism;The Russian Empire;
RUS_hms_government;The Russian Empire;
RUS_proletarian_dictatorship;Union of Soviet Socialist Republics;
RUS_presidential_dictatorship;Union States of Russia;
RUS_bourgeois_dictatorship;Union States of Russia;
RUS_fascist_dictatorship;Russian Steel State;
RUS_democracy;The Russian Federation;
UBD_ADJ;South Baltic;
UBD_absolute_monarchy;United Baltic Duchies;
UBD_prussian_constitutionalism;United Baltic Duchies;
UBD_hms_government;United Baltic Duchies;
UBD_proletarian_dictatorship;South Baltic Workers Union;
UBD_presidential_dictatorship;South Baltic Confederacy;
UBD_bourgeois_dictatorship;South Baltic League;
UBD_fascist_dictatorship;South Baltic Order;
UBD_democracy;South Baltic Federation;
WSF_absolute_monarchy;Kingdom of Zapadoslavia;
WSF_prussian_constitutionalism;Kingdom of Zapadoslavia;
WSF_hms_government;Kingdom of Zapadoslavia;
WSF_proletarian_dictatorship;West Slavic Workers' Republic;
WSF_presidential_dictatorship;Republic of Zapadoslavia;
WSF_bourgeois_dictatorship;Zapadoslavian Confederacy;
WSF_fascist_dictatorship;National State of Zapadoslavia;
WSF_democracy;West Slavic Union;
HAN_ADJ;Alleman;
HAN_absolute_monarchy;Kingdom of Allemandy;
HAN_prussian_constitutionalism;Kingdom of Allemandy;
HAN_hms_government;Kingdom of Allemandy;
HAN_proletarian_dictatorship;Allemand Gewerkschaft;
HAN_presidential_dictatorship;Allemand State;
HAN_bourgeois_dictatorship;Frei Allemandy;
HAN_fascist_dictatorship;Allemandreich;
HAN_democracy;Allemandy;
